"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Rhinichthys atratulus","Rhinichthys atratulus_42.6_NA","1460","","","none","none",42.6,-78.47,"Freshwater","12.4"
"Rhinichthys atratulus","Rhinichthys atratulus_43.64_NA","1460","","","none","none",43.64,-79.49,"Freshwater","12.4"
"Rhinichthys cobitis","Rhinichthys cobitis_32.85_NA","1825","","","none","none",32.85,-110.61,"Freshwater","6"
"Rhinichthys cobitis","Rhinichthys cobitis_32.88_NA","1825","","","none","none",32.88,-110.38,"Freshwater","6"
"Rutilus rutilus","Rutilus rutilus_53.64_NA","5110","","","none","none",53.64,-2.66,"Freshwater","50.2"
"Salmo trutta","Salmo trutta_52.37_NA","13870","","","none","none",52.37,-1.18,"Freshwater","140"
"Salmo trutta","Salmo trutta_52.72_NA","13870","","","none","none",52.72,18.54,"Freshwater","140"
"Salmo trutta","Salmo trutta_54.240113_NA","13870","","","none","none",54.240113,-3.014541,"Freshwater","140"
"Sander vitreus","Sander vitreus_34.37_NA","10585","0.208","0.208","none","none",34.37,-89.52,"Freshwater","107"
"Scardinius erythrophthalmus","Scardinius erythrophthalmus_52.72_NA","6935","","","none","none",52.72,18.54,"Freshwater","61.7"
"Semotilus atromaculatus","Semotilus atromaculatus_35.96_NA","2920","","","none","none",35.96,-83.92,"Freshwater","30.3"
"Semotilus atromaculatus","Semotilus atromaculatus_43.64_NA","2920","","","none","none",43.64,-79.49,"Freshwater","30.3"
"Semotilus atromaculatus","Semotilus atromaculatus_43.83_NA","2920","","","none","none",43.83,-79.48,"Freshwater","30.3"
"Semotilus atromaculatus","Semotilus atromaculatus_28.987263_NA","2920","","","none","none",28.987263,-81.356306,"Freshwater","30.3"
"Siphateles bicolor","Siphateles bicolor_35.67_NA","12775","","","none","none",35.67,-117.64,"Freshwater","45"
"Siphateles bicolor","Siphateles bicolor_35.69_NA","12775","","","none","none",35.69,-117.62,"Freshwater","45"
"Terapon jarbua","Terapon jarbua_11.49_NA","3650","","","none","none",11.49,79.76,"Freshwater","36"
"Ambystoma tigrinum","Ambystoma tigrinum_44.996399_NA","9125","","","0.958","0.958",44.996399,-93.061598,"Terrestrial","33"
"Litoria ewingii","Litoria ewingii_-38_304.8","unk","","","0.458","0.458",-38,145.245,"Terrestrial","5"
"Ambystoma maculatum","Ambystoma maculatum_39.87_NA","11680","","","0.458 and 0.958","0.458 and 0.958",39.87,-89.92,"Terrestrial","24.8"
"Alosa pseudoharengus","Alosa pseudoharengus_42.08_NA","4015","","","none","none",42.08,-81.34,"Freshwater","40"
"Alosa pseudoharengus","Alosa pseudoharengus_42.865433_NA","4015","","","none","none",42.865433,-86.044501,"Freshwater","40"
"Alosa pseudoharengus","Alosa pseudoharengus_43.49_NA","4015","","","none","none",43.49,-87.24,"Freshwater","40"
"Ameiurus natalis","Ameiurus natalis_32.874_NA","2555","","","none","none",32.874,-110.809,"Freshwater","60"
"Anaxyrus americanus","Anaxyrus americanus_34.683_NA","1825","","","0.958","0.958",34.683,-82.837,"Terrestrial","11.1"
"Anaxyrus americanus","Anaxyrus americanus_35.255_NA","1825","","","0.958","0.958",35.255,-97.352,"Terrestrial","11.1"
"Anaxyrus americanus","Anaxyrus americanus_42.878_NA","1825","","","0.958","0.958",42.878,-73.197,"Terrestrial","11.1"
"Anaxyrus woodhousii","Anaxyrus woodhousii_34.683_NA","2920","","","0.958","0.958",34.683,-82.837,"Terrestrial","12.7"
"Anaxyrus woodhousii","Anaxyrus woodhousii_41.682_NA","2920","","","0.958","0.958",41.682,-69.96,"Terrestrial","12.7"
"Anguilla australis","Anguilla australis_-35.15_NA","11680","","","none","none",-35.15,173.68,"Freshwater","130"
"Anolis roquet","Anolis roquet_14.79_500","2445.5","","","none","none",14.79,-61.14,"Terrestrial","8.6"
"Anolis roquet","Anolis roquet_14.8_650","2445.5","","","none","none",14.8,-61.14,"Terrestrial","8.6"
"Anolis roquet","Anolis roquet_14.81_350","2445.5","","","none","none",14.81,-61.12,"Terrestrial","8.6"
"Anolis roquet","Anolis roquet_14.82_175","2445.5","","","none","none",14.82,-61.11,"Terrestrial","8.6"
"Anolis roquet","Anolis roquet_14.85_20","2445.5","","","none","none",14.85,-61.09,"Terrestrial","8.6"
"Catostomus clarkii","Catostomus clarkii_32.874_NA","3650","","","none","none",32.874,-110.809,"Freshwater","33"
"Cottus gobio","Cottus gobio_54.4_NA","3650","","","none","none",54.4,-2.92,"Freshwater","18"
"Cottus gobio","Cottus gobio_54.43_NA","3650","","","none","none",54.43,-3.02,"Freshwater","18"
"Cottus gobio","Cottus gobio_54.47_NA","3650","","","none","none",54.47,-1.18,"Freshwater","18"
"Cyprinella lutrensis","Cyprinella lutrensis_33.21_NA","1095","","","none","none",33.21,-97.15,"Freshwater","9"
"Cyprinodon nevadensis","Cyprinodon nevadensis_36.34312_NA","365","","","none","none",36.34312,-118.745585,"Freshwater","7.8"
"Cyprinus carpio","Cyprinus carpio_42.08_NA","13870","","","none","none",42.08,-81.34,"Freshwater","120"
"Danio rerio","Danio rerio_33.22_NA","365","","","none","none",33.22,-97.13,"Freshwater","3.8"
"Desmognathus fuscus","Desmognathus fuscus_34.588_NA","1569.5","","","none","none",34.588,-78.566,"Terrestrial","14.2"
"Desmognathus fuscus","Desmognathus fuscus_36.639_NA","1569.5","","","none","none",36.639,-81.605,"Terrestrial","14.2"
"Desmognathus fuscus","Desmognathus fuscus_36.689_NA","1569.5","","","none","none",36.689,-80.321,"Terrestrial","14.2"
"Desmognathus fuscus","Desmognathus fuscus_37.375_NA","1569.5","","","none","none",37.375,-80.523,"Terrestrial","14.2"
"Desmognathus fuscus","Desmognathus fuscus_39.77_NA","1569.5","","","none","none",39.77,-84.69,"Terrestrial","14.2"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus_35.255_NA","7300","","","0.792","0.208",35.255,-97.352,"Terrestrial","9.05"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus_35.624_NA","7300","","","0.792","0.208",35.624,-82.993,"Terrestrial","9.05"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus_36.689_NA","7300","","","0.792","0.208",36.689,-80.321,"Terrestrial","9.05"
"Desmognathus quadramaculatus","Desmognathus quadramaculatus_35.219_NA","5475","","","","",35.219,-82.778,"Terrestrial","21"
"Desmognathus quadramaculatus","Desmognathus quadramaculatus_36.494_NA","5475","","","","",36.494,-81.12,"Terrestrial","21"
"Desmognathus quadramaculatus","Desmognathus quadramaculatus_37.375_NA","5475","","","","",37.375,-80.523,"Terrestrial","21"
"Dryophytes versicolor","Dryophytes versicolor_39.965_NA","2825","","","0.958","0.958",39.965,-74.312,"Terrestrial","6"
"Eleutherodactylus coqui","Eleutherodactylus coqui_18.295_700","2190","","","0.958","0.958",18.295,-65.8,"Terrestrial","5.2"
"Eleutherodactylus coqui","Eleutherodactylus coqui_18.403_15","2190","","","0.958","0.958",18.403,-66.05,"Terrestrial","5.2"
"Eleutherodactylus portoricensis","Eleutherodactylus portoricensis_18.295_NA","unk","","","none","none",18.295,-65.8,"Terrestrial","4.2"
"Eleutherodactylus portoricensis","Eleutherodactylus portoricensis_18.403_NA","unk","","","none","none",18.403,-66.05,"Terrestrial","4.2"
"Eurycea bislineata","Eurycea bislineata_37.375_NA","kunk","","","0.958","0.958",37.375,-80.523,"Terrestrial","12.3"
"Eurycea longicauda","Eurycea longicauda_36.689_NA","3650","","","","",36.689,-80.321,"Terrestrial","20"
"Eurycea longicauda","Eurycea longicauda_37.433_NA","3650","","","","",37.433,-80.32,"Terrestrial","20"
"Eurycea lucifuga","Eurycea lucifuga_37.313_NA","3321.5","","","none","none",37.313,-80.677,"Terrestrial","20"
"Eurycea lucifuga","Eurycea lucifuga_37.433_NA","3321.5","","","none","none",37.433,-80.32,"Terrestrial","20"
"Fundulus diaphanus","Fundulus diaphanus_33.17_NA","1580","","","none","none",33.17,-97.32,"Freshwater","13"
"Fundulus diaphanus","Fundulus diaphanus_35.57_NA","1580","","","none","none",35.57,-97.63,"Freshwater","13"
"Galaxias maculatus","Galaxias maculatus_-35.15_0","1825","0.625","0.792","none","none",-35.15,173.68,"Freshwater","19"
"Gambusia affinis","Gambusia affinis_32.874_NA","1095","","","none","none",32.874,-110.809,"Freshwater","5.1"
